index,d_coarse,fine_a,fine_b,valid_a,valid_b,usable,interval_ns
227,0,26,8,1,1,1,0.288
228,0,36,20,0,0,0,0.256
229,0,189,170,0,0,0,0.304
230,0,72,54,1,1,1,0.288
231,0,68,50,1,1,1,0.288
232,0,69,50,1,1,1,0.304
233,0,32,14,1,1,1,0.288
234,0,32,14,1,1,1,0.288
235,0,34,16,1,1,1,0.288
236,0,146,126,0,0,0,0.320
237,0,54,37,1,1,1,0.272
238,0,96,81,0,0,0,0.240
239,0,40,26,0,0,0,0.224
240,0,214,189,0,0,0,0.400
241,0,106,91,0,0,0,0.240
242,0,233,214,0,0,0,0.304
243,0,42,28,0,0,0,0.224
244,0,64,46,1,1,1,0.288
245,0,24,5,1,1,1,0.304
246,0,194,174,0,0,0,0.320
247,0,40,20,1,1,1,0.320
248,0,158,140,0,0,0,0.288
249,0,52,34,0,0,0,0.288
250,0,144,125,0,0,0,0.304
251,0,76,58,0,0,0,0.288
252,0,100,85,0,0,0,0.240
253,0,124,106,0,0,0,0.288
254,0,251,233,0,0,0,0.288
255,0,14,252,1,0,0,-3.808
256,0,76,57,0,0,0,0.304
257,0,124,105,0,0,0,0.304
258,0,200,180,0,0,0,0.320
259,0,54,38,0,0,0,0.256
260,0,152,132,0,0,0,0.320
261,0,52,35,0,0,0,0.272
262,0,48,32,0,0,0,0.256
263,0,54,38,0,0,0,0.256
264,0,174,154,0,0,0,0.320
265,0,254,236,0,0,0,0.288
266,0,234,214,0,0,0,0.320
267,0,122,104,0,0,0,0.288
268,0,94,78,0,0,0,0.256
269,0,42,26,0,0,0,0.256
270,0,244,226,0,0,0,0.288
271,0,72,54,1,1,1,0.288
272,0,58,42,1,1,1,0.256
273,0,150,132,0,0,0,0.288
274,0,42,24,1,1,1,0.288
275,0,8,246,1,0,0,-3.808
276,0,34,20,0,0,0,0.224
277,0,16,254,1,0,0,-3.808
278,0,18,0,1,1,0,0.288
279,0,140,122,0,0,0,0.288
280,0,112,98,0,0,0,0.224
281,0,66,48,1,1,1,0.288
282,0,14,251,1,0,0,-3.792
283,0,153,135,0,0,0,0.288
284,0,56,39,1,1,1,0.272
285,0,109,94,0,0,0,0.240
286,0,254,236,0,0,0,0.288
287,0,98,82,0,0,0,0.256
288,0,218,192,0,0,0,0.416
289,0,105,90,0,0,0,0.240
290,0,182,160,0,0,0,0.352
291,0,236,218,0,0,0,0.288
292,0,184,164,0,0,0,0.320
293,0,130,112,0,0,0,0.288
294,0,160,140,0,0,0,0.320
295,0,254,236,0,0,0,0.288
296,0,189,170,0,0,0,0.304
297,0,234,216,0,0,0,0.288
298,0,62,44,1,1,1,0.288
299,0,24,4,1,1,1,0.320
300,0,84,66,0,0,0,0.288
301,0,28,10,1,1,1,0.288
