code,t_ps,n,concentration,bin_width_ps,dnl_lsb
158,2062.30,10061,1.000,35.09,1.058
159,2035.71,2091,1.000,7.29,-0.572
160,2015.03,13258,1.000,46.24,1.712
162,1978.72,6333,1.000,22.09,0.295
163,1964.29,1080,1.000,3.77,-0.779
164,1942.98,13196,1.000,46.02,1.699
165,1910.71,1049,1.000,3.66,-0.785
166,1896.01,11055,1.000,38.56,1.261
167,1875.00,902,1.000,3.15,-0.816
168,1875.00,2225,1.000,7.76,-0.545
170,1849.08,9331,1.000,32.54,0.909
171,1839.23,667,1.000,2.33,-0.864
172,1822.22,5368,1.000,18.72,0.098
173,1803.58,1697,1.000,5.92,-0.653
174,1793.03,8335,1.000,29.07,0.705
175,1778.99,324,1.000,1.13,-0.934
176,1766.99,5252,1.000,18.32,0.074
177,1750.07,505,1.000,1.76,-0.897
178,1732.03,13932,1.000,48.59,1.850
179,1702.23,2063,1.000,7.20,-0.578
180,1658.65,24208,1.000,84.43,3.952
181,1606.99,5061,1.000,17.65,0.035
182,1581.34,9505,1.000,33.15,0.944
183,1571.43,327,1.000,1.14,-0.933
184,1545.84,10665,1.000,37.20,1.181
185,1530.40,47,1.000,0.16,-0.990
186,1508.94,10233,1.000,35.69,1.093
187,1482.14,19,1.000,0.07,-0.996
188,1481.86,5088,1.000,17.75,0.041
189,1464.80,3262,1.000,11.38,-0.333
190,1446.85,8659,1.000,30.20,0.771
191,1428.57,2320,1.000,8.09,-0.525
192,1419.35,2342,1.000,8.17,-0.521
193,1409.33,4238,1.000,14.78,-0.133
194,1383.66,9887,1.000,34.48,1.022
195,1375.00,25,1.000,0.09,-0.995
196,1352.98,6676,1.000,23.28,0.366
197,1339.29,3159,1.000,11.02,-0.354
198,1315.05,9222,1.000,32.16,0.886
199,1303.57,299,1.000,1.04,-0.939
200,1290.23,4446,1.000,15.51,-0.091
201,1285.71,551,1.000,1.92,-0.887
202,1264.65,9280,1.000,32.37,0.898
203,1250.00,2128,1.000,7.42,-0.565
204,1222.16,10825,1.000,37.75,1.214
205,1196.47,462,1.000,1.61,-0.905
206,1186.81,8995,1.000,31.37,0.840
207,1170.05,530,1.000,1.85,-0.892
208,1160.54,4903,1.000,17.10,0.003
209,1143.39,369,1.000,1.29,-0.925
210,1126.34,13532,1.000,47.20,1.768
211,1106.96,478,1.000,1.67,-0.902
212,1084.45,9626,1.000,33.57,0.969
213,1071.43,1361,1.000,4.75,-0.722
214,1048.95,7440,1.000,25.95,0.522
215,1033.96,3324,1.000,11.59,-0.320
216,1015.51,5518,1.000,19.25,0.129
217,1000.00,4235,1.000,14.77,-0.134
218,982.43,5110,1.000,17.82,0.045
219,965.95,2695,1.000,9.40,-0.449
220,944.57,11462,1.000,58.17,2.412
221,928.57,680,1.000,2.43,-0.857
222,902.89,10473,1.000,37.66,1.209
223,881.06,230,1.000,0.81,-0.953
224,875.39,2134,1.000,7.44,-0.563
225,875.00,2644,1.000,9.22,-0.459
226,874.60,135,1.000,0.47,-0.972
227,856.97,4896,1.000,17.08,0.001
228,829.32,11147,1.000,38.88,1.280
229,803.57,185,1.000,0.65,-0.962
230,793.87,9290,1.000,32.40,0.900
231,782.64,93,1.000,0.32,-0.981
232,759.47,9640,1.000,33.62,0.972
233,749.58,556,1.000,1.94,-0.886
234,722.53,10555,1.000,36.81,1.159
235,697.28,606,1.000,2.11,-0.876
236,693.10,5205,1.000,18.15,0.065
237,678.57,2578,1.000,8.99,-0.473
238,656.64,10553,1.000,36.81,1.159
239,639.95,503,1.000,1.75,-0.897
240,605.04,18017,1.000,62.84,2.685
241,571.43,2216,1.000,7.73,-0.547
242,550.50,8589,1.000,29.96,0.757
243,535.71,1598,1.000,5.57,-0.673
244,518.71,6873,1.000,23.97,0.406
245,500.07,4299,1.000,14.99,-0.121
